country,co2,consumption_co2,co2_growth_prct,co2_growth_abs,trade_co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,trade_co2_share,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
Afghanistan,192.851,,1156.94,12.144,,9.525,,0.7,3754.107,0.42,7,,7.483,60.41,2.505,5.956,20.152,103.834,,0.17,2.461,0.474,1.288,5.119,,,0.63,0.55,2.27,0.54,1.05,,86.771,819.626,133.89,583.169,2016.868,,0.63,0.05,1.75,0.49,0.63,,879.47,33.154,643.03,23.789,128.44,5.337,1230725448,1.48104E+12,598.77,31015.215,16.827
Africa,47610.749,22120.671,1457.81,1326.018,-8892.489,110.011,23.571,240.59,1205270.387,145.43,27.77,7.115,18.802,20304.715,1862.329,2786.571,5948.868,16708.257,,2.575,71.646,4.527,6.601,24.661,,-872.39,319.95,262.86,948,114.39,191.97,,36295.408,623735.5,76939.322,88346.331,379953.826,,255.77,145.09,759.79,58.23,122.42,,,,,,,,54933994670,,152425.517,203060.376,
Albania,285.504,143.572,1619.03,4.523,29.578,111.049,47.527,1.49,9250.244,1.04,26.324,7.158,4.68,66.963,19.479,,16.602,182.455,,7.065,24.946,,6.288,72.753,,807.19,3.43,0.89,,0.67,2.93,,438.24,2457.461,,634.64,5701.052,,2.73,0.43,,0.73,2.34,,234.52,76.612,95.54,31.116,33.11,10.796,199750816,8.64813E+11,1346.745,447400.179,94.705
Algeria,4587.133,,1801.74,154.992,,162.607,,18.24,95820.242,8.76,26.904,,17.144,116.452,229.285,588.662,2062.655,1590.075,,7.684,6.231,25.31,66.064,57.322,,,33.66,1.6,211.33,43.5,17.05,,4081.35,4060.633,17941.796,36112.189,33494.461,,24.1,0.95,171.72,25.75,9.81,,3833.79,115.537,1071.5,32.321,197.69,5.917,1893385670,1.17079E+13,15972.978,536096.282,49.988
Andorra,15.072,,15.36,0.059,,209.122,,0,236.074,0,,,,,,,,15.072,,,,,,209.122,,,,,,,0.07,,,,,,236.074,,,,,,0,,13.51,189.24,1.03,14.054,0,0,2252151,,,,
Angola,682.264,,779.21,22.007,,40.359,,2.49,11431.576,0.98,20.239,,11.31,1.601,26.908,288.531,40.782,324.441,,1.675,0.3,16.102,2.335,19.948,,,3.67,0,88.87,0.83,3.3,,447.257,22.125,4534.943,701.545,5650.471,,2.82,0,36.59,0.45,1.59,,4682.31,258.485,1320.63,72.545,541.49,30.248,911999116,2.61683E+12,1621.135,89399.83,42.719
Anguilla,3.421,,99.05,0.072,,273.172,,0,45.869,0,,,,,,,,3.421,,,,,,273.172,,,,,,,0,,,,,,45.869,,,,,,0,,,,,,,,378389,,,,
Antarctica,0.157,,258.33,0.009,,,,0,1.844,0,,,,,,,,0.157,,,,,,,,,,,,,0,,,,,,1.844,,,,,,0,,,,,,,,,,,,
Antigua and Barbuda,21.528,,735.14,0.408,,301.339,,0.02,637.616,0,,,5.116,,,,,21.528,,,,,,301.339,,,,,,,0.12,,,,,,637.616,,,,,,0,,21.44,262.54,4.77,60.389,0.59,7.541,4510619,,80.504,1067485.233,
Argentina,8431.212,4551.437,707.2,155.9,-163.429,299.431,116.846,53.06,263218.871,37.79,26.54,7.187,11.782,537.44,197.059,184.483,2868.907,4643.327,,6.643,45.337,6.006,79.61,161.828,,-103.79,70.99,14.35,72.96,81.58,88.98,,6148.888,38586.473,6038.62,55983.237,156440.788,,73.65,15.08,60.11,58.6,80.2,,11042.71,288.88,3240.6,85.519,1157.39,30.428,2732500273,3.19231E+13,33732.49,983333.005,62.871
